name,skill_passive,skill_1,skill_1_cooling,skill_1_cost,skill_2,skill_2_cooling,skill_2_cost,R,R_cooling,R_cost,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,搭配英雄1,搭配英雄2,克制英雄1,克制英雄2,被克制英雄1,被克制英雄2,attack_range,MP,MP_recover,magic_defense,attack,defense,HP,HP_recover,speed,tag
蔡文姬,被动：蔡文姬受到伤害后短暂提升自身移速并回复自身生命250（+50%法术加成）点，持续2秒，这个效果每10秒只会触发一次,蔡文姬演奏乐曲，自身移动速度提升20%，为自身和周围的友方英雄每0.5秒恢复60/66/72/78/84/90（+20%法术加成）点生命值，持续3秒,15/14.4/13.8/13.2/12.6/12,100,蔡文姬向指定方向弹奏一束音波，音波会在敌方单位之间弹射，造成250/290/330/370/410/450（+36%法术加成）点法术伤害和短暂眩晕，最多弹射6次，同一目标最多受到2次弹射效果，若受到多次弹射伤害后续伤害衰减50%。,9,70,蔡文姬释放琴音（持续5秒），增加范围内友方英雄200/250/300点物理和法术防御，并每0.5秒为血量最低的友方英雄恢复150/200/250（+35%法术加成）生命值,2/29/00,120,近卫荣耀,冷静之靴,圣杯,极寒风暴,梦魇之牙,贤者之书,孙尚香,鲁班七号,程咬金,露娜,韩信,花木兰,远程,470,17,50,159,96,3238,38,360, 辅助  远程 
关羽,被动：关羽每主动移动100距离速度将提高2%，移动达到2000距离时将进入冲锋状态.冲锋时对敌人造成普攻伤害并附带自身最大生命值12%的物理伤害.该姿态下关羽受到减速或者控制导致其速度低于375时.将停止冲锋。冲锋姿态普攻可击退敌人，面朝敌方将获得20%移动加速.,关羽旋转大刀对附近造成敌人215/430/645/860/1075/1290（+127%物理加成）点物理伤害.冲锋姿态下将发起冲锋造成（+100%物理加成）（+最大生命值的12%）点物理伤害，并在结束时向前劈砍，造成250/500/750/1000/1250/1500（+150%物理加成）点物理伤害,8/7.2/6.4/5.6/4.8/4,0,关羽清啸一声，大幅度增加自身移动速度并解除自身控制效果。冲锋姿态下前跃击退敌人，造成335/470/605/740/875/1010（+112%物理加成）点物理伤害，增加自身移速解除控制效果,14,0,关羽激发潜能，将冲锋准备距离从100缩短至50持续10秒。冲锋姿态下召唤铁骑突击撞退敌人，冲锋造成（+100%物理加成）（+最大生命值的12%）点物理伤害，将冲锋准备距离从100缩短至50%持续10秒。,70/55/40,0,抵抗之靴,暗影战斧,冰痕之握,不死鸟之眼,不祥征兆,反伤刺甲,鲁班七号,宫本武藏,王昭君,狄仁杰,孙尚香,孙膑,近程,10,0,50,170,101,3322,51,380, 战士  突进 
虞姬,被动：脱战后，树神之力加持虞姬下一次普攻为树神束缚造成200(+200%物理加成)点物理伤害并且攻击距离提升，树神束缚对目标造成衰减1.5秒的90%减速,虞姬蓄力后，发射一支携树神加持的强力弩矢，弩矢对飞行路线上第一个敌人造成365/475/585/695/805/915（+180%物理加成）点物理伤害，后续命中一个敌人衰减10%伤害，最低衰减到60%伤害,5,50,增加虞姬30%/36%/42%/48%/54%/60%的移动速度，期间能闪避所有的物理攻击，并在技能开启时，清空自身减速效果,15/14/13/12/11/10,80,虞姬冲向目标使敌人短暂晕眩并附带树神束缚的减速效果，然后在后跳过程中对敌人快速射出2支弩失，每支造成220/280/340（+120%物理加成）点物理伤害。后跳过程中免疫控制。,20/17/14,100,无尽战刃,闪电匕首,急速战靴,泣血之刃,破甲弓,影刃,项羽,廉颇,露娜,貂蝉,韩信,花木兰,远程,440,16,50,165,84,2977,36,340, 突进  射手 
安琪拉,被动：使用技能会对敌人造成额外灼烧伤害，可以在短时间内叠加至多10层,安琪拉召唤5颗火球朝指定位置攻击，每颗火球对敌人造成350/390/430/470/510/550（+30%法术加成）点法术伤害。当敌人被多颗火球命中时，额外的火球只能造成30%伤害。火球命中英雄时会停止移动并销毁。,6,70,安琪拉朝指定位置释放混沌火种，火种在触碰敌人或者散播到最远距离时，裂变为火焰漩涡使命中的敌方短暂眩晕，之后缓慢飞行对周围的敌人每次灼伤造成130/145/160/175/190/205（+17%法术加成）点法术伤害并减速。,10/9.6/9.2/8.8/8.4/8,80,安琪拉蓄力朝面前持续释放炽热光辉，对触碰的敌人每0.3秒造成150/190/230（+21%法术加成）点法术伤害并获得炽热护盾，护盾存在期间不会受到控制效果，护盾可抵免600/800/1000（+60%法术加成）点伤害。（施法1秒后再次释放该技能可以取消引导）,30/26/22,120,时之预言,秘法之靴,博学者之怒,巫术法杖,冰霜法杖,贤者之书,韩信,项羽,狄仁杰,孙尚香,庄周,孙膑,远程,490,17,50,170,83,3323,47,360, 远程消耗  法师 
项羽,被动：当生命低于30%，项羽可在6秒内获得30%伤害输出加成与40%免伤加成，此效果有120秒CD,项羽向前冲锋，每段打击对敌人造成100/115/130/145/160/175（+43%物理加成）点物理伤害和击退效果，最后一段将造成击飞效果，命中敌方会减少该技能30%冷却时间,12/11.6/11.2/10.8/10.4/10,60,项羽发出怒吼，对范围内的敌人造成减速与150/180/210/240/270/300（+80%物理加成）点法术伤害，并减少敌人的伤害输出25/28/31/34/37/40%持续2秒。被动：可固定格挡减少每次伤害4/8/12/16/20/24点,12/11.6/11.2/10.8/10.4/10,50,项羽在持续的蓄力后对面前的目标造成860/1075/1290（+158%物理加成）点物理伤害，被枪刃命中的敌人会受到额外的眩晕效果,40/35/30,100,抵抗之靴,红莲斗篷,不死鸟之眼,近卫荣耀,极寒风暴,破军,鲁班七号,武则天,狄仁杰,孙尚香,嬴政,武则天,近程,420,15,50,175,123,3535,58,370, 坦克  团控  先手 
后羿,被动：后羿的攻击会让目标减速6%，可叠加最高5层,让后羿的普攻射出一阵炙热箭风，短时间内下三次攻击都会造成额外65/80/95/110/125/140（+45%物理加成）点物理伤害,10,60,后羿向前方的锥形范围射出箭矢，每支箭造成360/440/520/600/680/760（+116%物理加成）点物理伤害（每个敌人至多承受一次伤害），并附加减速效果,9/8/7/6/5/4,60,后羿向前方射出火焰箭。击中敌方英雄时造成500/625/750（+140%物理加成）点物理伤害并晕眩此目标（眩晕时长取决于火焰箭的飞行距离，最多造成3.5秒眩晕）。目标周围的敌人会受到爆炸伤害,45/40/35,130,闪电匕首,末世,急速战靴,无尽战刃,破甲弓,影刃,廉颇,刘禅,亚瑟,典韦,阿轲,宫本武藏,远程,440,16,50,161,89,3297,41,340, 射手  高爆发 
刘禅,被动：刘禅的技能可以对机关造成等量的伤害，当刘禅技能对敌方机关造成伤害时会掠夺零件为自身恢复200点生命值（每级成长14点），并且刘禅的控制效果可对防御塔造成短暂的干扰效果,刘禅开启护盾向前发起冲锋，吸收600/840/1080/1320/1560/1800点伤害同时提升自身移动速度持续3秒，并强化下一次普通攻击，造成350/400/450/500/550/600（+122%物理加成）点物理伤害并短暂击飞,12/11/10/9/8/7,70,刘禅操纵机关熊猫伸出魔爪攻击前方区域敌人，造成400/480/560/640/720/800（+100%物理加成）点物理伤害并眩晕,8,65,机关熊猫伸展双臂原地回转，持续对周围敌人打击，每段造成240/320/400（+75%物理加成）点物理伤害。,40/35/30,140,红莲斗篷,抵抗之靴,暴烈之甲,不死鸟之眼,霸者重装,反伤刺甲,王昭君,甄姬,阿轲,赵云,小乔,孙膑,近程,0,0,50,178,139,3364,54,380, 坦克  近战 
王昭君,被动：王昭君脱离战斗后会获得可抵免450（+52%法术加成）点伤害的寒冰护盾，护盾破裂时对附近敌人造成一次冰霜冲击，造成450（+52%法术加成）点法术伤害与减速效果；寒冰护盾有3秒的回复冷却时间。,王昭君操控碎裂冰晶绽开，对范围内的敌军造成400/480/560/640/720/800（+65%法术加成）点法术伤害与减速，并获得他们的视野2秒,5,80,王昭君引领寒霜之力，一定时间后将范围内敌人冰冻并造成250/280/310/340/370/400（+47%法术加成）点法术伤害.被动：对被冰冻的敌人造成额外250/280/310/340/370/400（+50%法术加成）点法术伤害。,8/7.6/7.2/6.8/6.4/6,80,王昭君召唤寒冬之力刷新寒冰护盾，在指定位置降下暴风雪对范围内敌人每次打击造成300/375/450（+50%法术加成）点法术伤害与减速，期间获得600点护甲加成。,50/45/40,150,圣杯,冷静之靴,回响之杖,博学者之怒,虚无法杖,贤者之书,小乔,武则天,典韦,亚瑟,赵云,宫本武藏,远程,490,17,50,165,91,3083,44,340, 控制  法师 
赵云,被动：每损失3%最大生命值获得额外1%免伤效果,赵云执枪冲锋陷阵，对前方直线路径敌人造成190/214/238/262/286/310（+100%物理加成）点物理伤害，重置普攻并使得下一次普通攻击造成65/74/83/92/101/110（+135%物理加成）点物理伤害并减少敌人移动速度,7/6.4/5.8/5.2/4.6/4,45,赵云快速刺出龙枪，对前方范围内敌人造成高额伤害，每段造成120/135/150/165/180/195（+50%物理加成）点物理伤害，命中英雄后回复35/39/43/47/51/55（+14%物理加成）点生命值,8/7.2/6.4/5.6/4.8/4,75,赵云跃向空中，向地面目标发动雷霆一击，对范围内敌人造成370/460/550（+140%物理加成）点物理伤害将其短暂击飞，并让目标感电，赵云的普攻和技能伤害对感电目标造成额外30/45/60（+13%物理加成）点法术伤害,18/15/12,135,抵抗之靴,暗影战斧,贪婪之噬,不死鸟之眼,暴烈之甲,破军,扁鹊,庄周,鲁班七号,孙尚香,亚瑟,白起,近程,430,15,50,173,84,3267,50,380, 战士  突进  控制 
花木兰,被动：花木兰使用两把短剑时，移动速度提升，普通攻击和技能伤害将会持续破坏目标的平衡，连续5次攻击触发印记造成200%物理加成点物理伤害沉默并减速目标；花木兰使用重剑时，普通攻击造成50%额外伤害但基础攻速降低，使用技能过程中处于霸体状态并大幅度提升免伤50%,花木兰向指定方向冲锋后向前挥砍，对命中的目标造成80/90/100/110/120/130（+43%物理加成）点物理伤害；如果该技能命中至少一个单位，那么能够在5秒内使用第二次,8/7.6/7.2/6.8/6.4/6,0,花木兰向指定方向投掷短剑，对过程中敌人造成180/200/220/240/260/280（+90%物理加成）点物理伤害，短剑在到达终点后在空中旋转，持续对范围内敌人造成72（+36%物理加成）点物理伤害与减速效果，短剑在空中最多持续3秒，花木兰能够通过拾起短剑减少技能5秒冷却时间,12,0,花木兰拔出重剑横扫，对范围内敌人造成200/280/360（+110%）物理伤害，并切换至重剑技能，同时在重剑形态下提升攻击力60点持续5秒,1/6/00,0,暗影战斧,抵抗之靴,无尽战刃,泣血之刃,破甲弓,贤者的庇护,夏侯惇,吕布,鲁班七号,后羿,牛魔,诸葛亮,近程,100,0,50,170,86,2886,44,380, 战士  突进  收割 
狄仁杰,被动：狄仁杰的普通攻击会增加自身攻击速度3%与移动速度5%，最多叠加5层。,狄仁杰甩出六枚令牌（可触发普攻法球效果），对命中的目标造成65%物理加成点物理伤害与80/88/96/104/112/120（+20%法术加成）（+40%额外物理加成）点法术伤害（蓝牌伤害减半），蓝牌可对目标造成额外减速效果，同一目标受到多发红蓝牌伤害后续伤害衰减70%；被动：第三次普通攻击将会随机强化为一张蓝牌或红牌,8/7.6/7.2/6.8/6.4/6,60,狄仁杰清除自身负面效果（可触发普攻发球效果），增加移动速度，并向周围掷出八道令牌，令牌的伤害和效果与【1技能六令追凶】相同,12/11.6/11.2/10.8/10.4/10,70,狄仁杰向指定方向投掷一枚金色令牌，对命中的第一个英雄造成300/375/450（+60%法术加成）（+120%额外物理加成）点物理伤害与等量的法术伤害，并造成晕眩减少目标双抗30%，获得目标视野持续5秒；期间友军向目标移动会增加移动速度10%,30/25/20,100,闪电匕首,无尽战刃,泣血之刃,急速战靴,破甲弓,影刃,孙膑,牛魔,刘邦,项羽,兰陵王,花木兰,远程,440,15,50,169,95,3242,40,350, 射手  消耗 
韩信,被动：第四次普通攻击将会挑飞目标，释放技能命中目标后会获得50%攻击速度加成,韩信持枪冲锋后挑飞目标，对其造成135/151/167/183/199/215（+62%物理加成）点物理伤害，这个技能释放后的5秒内可以再次使用,9.6/8.8/8/7.2/6.4/5.6,55,韩信向后跳跃，并使3秒内的下一次普通攻击变为横扫，造成180/200/220/240/260/280（+100%物理加成）点物理伤害,5,80,韩信长枪乱舞，对范围内敌人造成多段130/165/200（+62%物理加成）点物理伤害，最后一次伤害会击飞目标，乱舞期间韩信处于霸体状态,36/30/24,140,冷静之靴,追击刀锋,暗影战斧,无尽战刃,破军,贤者的庇护,扁鹊,嬴政,武则天,姜子牙,狄仁杰,钟无艳,近程,430,15,50,172,92,2988,45,380, 刺客  突进  推进 
墨子,被动：连续的第四次普通攻击会将正前方的目标击退并造成125%法术加成及150%物理加成的法术伤害，释放所有技能都会获得短暂的护盾效果,墨子驾驶机关人向前突进，对穿过的目标造成250/300/350/400/450/500（+38法术加成）点法术伤害，将下一次普攻替换为能够击退敌人的炮击,10/9/8/7/6/5,70,墨子驾驶机关人向目标开炮，对范围内的敌人造成450/550/650/750/850/950（+140%法术加成）点法术伤害与晕眩,7,70,墨子驾驶机关人展开高能屏障，每次对触碰到屏障的敌人造成200/250/300（+45%法术加成）点法术伤害并将其晕眩在原地,42/35/28,150,冷静之靴,回响之杖,博学者之怒,冰霜法杖,痛苦面具,贤者之书,狄仁杰,鲁班七号,赵云,韩信,庄周,孙膑,近程,420,15,50,181,102,3083,51,380, 法师  坦克  团控 
鲁班七号,被动：连续的第五次普通攻击会掏出机枪进行疯狂扫射，每段造成90%物理加成的物理伤害,鲁班投掷一枚河豚手雷，对命中的目标造成120/145/170/195/220/245（+54%物理加成）点物理伤害与减速效果(处于手雷中心的敌人会被眩晕1秒），并使得下一次普通攻击升级为扫射,12/11/10/9/8/7,70,鲁班向指定方向发射火箭炮，命中英雄后造成260/295/330/365/400/435（+100%物理加成）点物理伤害，并附带目标已损生命5/6/7/8/9/10%法术伤害，使得下一次普通攻击升级为扫射,17/16/15/14/13/12,70,鲁班召唤河豚飞艇进行空中支援，河豚飞艇每秒对范围内随机一个敌人投掷炸弹，炸弹在0.75秒后落下，对小范围内的敌人造成320/400/480（+123%物理加成）点物理伤害，并使得下一次普通攻击升级会扫射。,40/30/20,100,末世,急速战靴,无尽战刃,泣血之刃,破甲弓,破军,廉颇,钟无艳,亚瑟,刘禅,阿轲,韩信,远程,440,15,50,174,8,3401,42,350, 射手  消耗 
宫本武藏,被动：宫本武藏释放技能将会为下一次普通攻击蓄力，造成额外30（+60%物理加成）点物理伤害并减少所有技能1秒冷却时间,宫本武藏向前斩出一道剑气，对穿过的敌人造成340/440/540/640/740/840（+125%物理加成）点物理伤害并减速，同时击落路径上的敌方飞行物；释放1技能期间宫本武藏处于霸体状态；被动：宫本武藏对敌方英雄造成伤害后会在3秒内持续回复生命值总共30/48/66/84/102/120（+21%物理加成）点，这个效果不会叠加,10/9.6/9.2/8.8/8.4/8,0,宫本武藏向前冲刺，对穿过的敌人造成100/130/160/190/220/250（+60%物理加成）点物理伤害，如果该技能穿过敌军将获得抵免100/160/220/280/340/400（+60%物理加成）点伤害的护盾效果并返还50%的冷却时间，护盾每4秒只能获得一次,10/9.6/9.2/8.8/8.4/8,0,宫本武藏跃向空中，在短暂延迟后拔出鸣雷斩落，对目标周围的区域造成400/550/700（+100%物理加成）点物理伤害，同时将当前目标击飞并减速；在接下来的12秒内宫本武藏进入二刀流状态移动速度提升，所有普攻与技能都会附带鸣雷的35（+15%物理加成）点法术伤害，狩魔范围提升，神速将获得额外突进距离,80/75/70,0,暗影战斧,影忍之足,宗师之力,闪电匕首,反伤刺甲,暴烈之甲,小乔,达摩,后羿,甄姬,张良,貂蝉,近程,0,0,50,157,106,2902,47,400, 战士  控制  突进 
牛魔,被动：周围500范围内有友方英雄时，牛魔和范围内血量最少的友方英雄会获得200点护甲魔抗.,牛魔以大斧横劈，对前方大范围内的敌人造成250/300/350/400/450/500（+110%物理加成）点物理伤害，被斧刃刮到的敌人会额外受到虚弱效果，降低15%的攻击力和法术强度（只对英雄生效），持续3秒.如果命中了敌方英雄，下次普攻或技能会触发额外法术伤害,6,55,牛魔朝指定方向冲锋，击飞沿途的敌人造成450/530/610/690/770/850（+90%物理加成）点物理伤害并击飞0.75秒，敌人落地后会额外受到1秒的90%减速效果,10/9.6/9.2/8.8/8.4/8,80,短暂蓄力后，牛魔以巨斧猛力劈开大地，击飞面前路径上的敌人，并造成550/700/850（+130%物理加成）点物理伤害.同时沿途的大地被牛魔力量撕裂，持续5秒，踏入撕裂范围的敌人将遭受减速和持续伤害.,40/35/30,150,红莲斗篷,近卫荣耀,影忍之足,不死鸟之眼,霸者重装,闪电匕首,鲁班七号,孙尚香,曹操,钟无艳,武则天,小乔,近程,0,0,50,156,109,3537,55,380, 突进  坦克 
貂蝉,被动：貂蝉的技能命中会为目标叠加花之印记，每四层印记触发一次爆炸，回复自身100点生命并对周围敌人造成160（+64%法术加成）点真实伤害与减速效果,貂蝉向前挥出花球并收回，每段造成180/220/260/300/340/380（+57%法术加成）点法术伤害,5,50,貂蝉瞬间消失，并立即出现在指定方向的终点，散发3枚花球攻击终点附近的敌人，每枚造成140/155/170/185/200/215（+24%法术加成）点法术伤害，命中敌人会减少技能4秒冷却时间,10,50,貂蝉绽放风华，原地结成法阵，法阵生成及消失都将造成210/245/280（+50%法术加成）点法术伤害.在法阵之中貂蝉的一、二级技能会加快冷却回复,40/35/30,80,圣杯,冷静之靴,回响之杖,博学者之怒,冰霜法杖,贤者之书,白起,孙膑,狄仁杰,妲己,后羿,鲁班七号,远程,490,17,50,167,87,3019,43,340, 突进  法师  高爆发 
典韦,被动：每一次击杀或者助攻会增加1层攻击BUFF，共20层，每层提高12点物理攻击力,典韦冲锋陷阵，大幅度提升自身攻击速度与移动速度，并强化下一次普通攻击，对附近敌人造成额外250/300/350/400/450/500（+120%物理加成）点物理伤害，激活时移除自身控制效果。,9/8.6/8.2/7.8/7.4/7,55,暴怒的典韦践踏大地，命中敌人后将提升自身攻速对附近敌人造成250/280/310/340/370/400（+100%物理加成）点物理伤害并造成持续2秒减速。,8/7.4/6.8/6.2/5.6/5,65,典韦对目标发起跳斩造成300/375/450（+140%物理加成）点真实伤害和减速，并强化自身，对敌人造成的所有伤害附带目标最大生命3%的真实伤害，持续5秒。,30/25/20,130,红莲斗篷,反伤刺甲,影忍之足,暴烈之甲,血魔之怒,霸者重装,达摩,高渐离,高渐离,孙膑,张良,庄周,近程,430,16,50,168,89,3434,52,370, 战士  坦克 
小乔,被动：释放技能命中敌人时，短时间2秒内提升自身移动速度25%,小乔扔出一把回旋飞行的扇子，对触碰的敌人造成360/435/510/585/660/735（+100%法术加成）点法术伤害，每命中一个单位后续伤害衰减20%，最低减到原伤害40%为止,5,60,小乔在敌人脚下召唤出恋之旋风，对敌人造成260/292/324/356/388/420（+62%法术加成）点法术伤害并击飞,14.5/13.3/12.1/10.9/9.7/8.5,80,用爱心召唤流星，不断打击附近的敌人，每次造成260/325/390（+65%法术加成）点法术伤害，每个敌人最多承受4次攻击，持续5秒,42/35/28,140,圣杯,秘法之靴,博学者之怒,回响之杖,虚无法杖,贤者之书,王昭君,甄姬,鲁班七号,孙尚香,钟无艳,项羽,远程,490,18,50,153,95,3088,44,340, 消耗  法师 
甄姬,被动：每次技能伤害都会为目标叠加印记，当印记叠满三层时目标将会被冰冻并造成350（+52%法术加成）点法术伤害（该效果5秒内对同一目标只会生效一次）。,甄姬召唤水柱冲出地面，对接触的敌人造成500/590/680/770/860/950（+70%法术加成）点法术伤害并击飞。,8,90,甄姬引导水流在敌人间流动，对敌人造成300/350/400/450/500/550（+45%法术加成）点法术伤害。,6,70,甄姬释放水之精魄，对直接命中的敌人造成400/500/600（+65%法术加成）点法术伤害，并形成一片水域，对触碰的敌人造成200/250/300（+32%法术加成）点法术伤害与减速效果。,50/45/40,150,圣杯,秘法之靴,博学者之怒,回响之杖,虚无法杖,冰霜法杖,露娜,安琪拉,白起,阿轲,武则天,扁鹊,远程,0,0,50,165,87,3040,40,340, 突进  法师 
妲己,被动：造成的伤害会减少目标的法术抗性，共3层，每次减少目标30～72点法术抗性（随英雄等级成长）,妲己挥出灵魂冲击波，对命中的敌人造成520/585/650/715/780/845（+122%法术加成）点法术伤害,8/7.4/6.8/6.2/5.6/5,80,妲己抛出魅力爱心，对命中的敌人造成285/320/355/390/425/460（+66%法术加成）点法术伤害，并眩晕1.5秒,12/11/10/9/8/7,90,妲己放出至多5团狐火攻击附近的敌人，每团狐火造成325/405/485（+75%法术加成）点法术伤害，狐火命中同一个单位，第二发开始将只造成50%伤害,18/15/12,120,圣杯,秘法之靴,博学者之怒,回响之杖,虚无法杖,贤者之书,老夫子,典韦,赵云,廉颇,武则天,嬴政,远程,0,0,50,170,86,3229,41,340, 先手  法师 
孙膑,被动：释放技能会短暂在1秒内增加自身移动速度20%,孙膑向指定方向投掷一枚炸弹，对命中的第一个目标造成180/225/270/315/360/405（+18%法术加成）点法术伤害并附着在目标身上，3秒后炸弹爆炸，对范围内敌人造成540/675/810/945/1080/1215（+54%法术加成）点法术伤害与减速效果,8/7.6/7.2/6.8/6.4/6,60,孙膑引导时空之力，使得范围内友军移动速度30%/36%/42%/48%/54%/60%和冷却回复速度提升20%持续2秒，2秒后时光倒流，返还目标期间受损的生命值40%,12/11.2/10.4/9.6/8.8/8,60,孙膑向指定方向投掷一枚强化炸弹，命中目标或飞行到最大距离后展开，对范围内敌人造成500/625/750（+45%法术加成）点法术伤害、减速与沉默；力场展开持续5秒，期间范围内敌方目标冷却回复减慢25%，5秒后再次造成1500/1875/2250（+135%法术加成）点法术伤害,45/40/35,100,冷静之靴,圣杯,近卫荣耀,冰霜法杖,回响之杖,痛苦面具,亚瑟,张良,老夫子,亚瑟,狄仁杰,钟无艳,远程,200,50,50,175,91,3041,46,360, 辅助  控制
武则天,被动：武则天脱离战斗后会获得50点移动速度，同时每秒回复1%最大法力值,武则天向指定方向释放能量法球，碰到敌人后爆开，对范围内的敌人造成350/420/490/560/630/700（+50%法术加成）点法术伤害，由被强化的女帝辉光将造成双倍伤害并附带击飞效果；被动：释放任意两个技能会强化3秒内的下一次【女帝辉光】并清除当前【女帝辉光】的冷却时间。,3,60,武则天的威严不可侵犯，击退身边靠近她的敌人并对他们造成250/280/310/340/370/400（+30%法术加成）点法术伤害；如果技能命中目标，则增加武则天移动速度30%/34%/38%/42%/46%/50%，并降低命中目标的移动速度30/34/38/42/46/50%。,10/9/8/7/6/5,90,武则天以女帝权威施行制裁，在所有敌方英雄脚下召唤法阵并引爆，对范围内敌人造成750/925/1100（+90%法术加成）点法术伤害和晕眩。并获得敌方视野持续3秒。,80/70/60,150,圣杯,冷静之靴,回响之杖,博学者之怒,痛苦面具,贤者之书,廉颇,项羽,王昭君,甄姬,赵云,韩信,远程,0,0,50,173,95,2860,40,340, 法师  爆发 
高渐离,被动：进行四次演奏以后（普攻或者释放技能），下次普通攻击将会向前弹奏出带有穿透效果的能量和弦，造成300（+100%法术加成）的法术伤害,高渐离弹奏出音符，对附近至多2名敌人造成350/410/470/530/590/650（+47%法术加成）点法术伤害，音符命中敌人后，将向附近的敌人进行弹射，至多弹射2次.如果敌人被多个音符命中，后续音符只造成30%的伤害,7,80,高渐离震慑琴弦，对附近敌人造成500/560/620/680/740/800（+65%法术加成）点法术伤害，并降低其移动速度35%/40%/45%/50%/55%/60%，持续2秒,12/11/10/9/8/7,70,高渐离激情演奏持续对附近敌人造成伤害（每0.5秒演奏一次，总共10次），每段造成200/250/300（+15%法术加成）点法术伤害，释放技能的瞬间高渐离获得15%免伤效果，身边每个敌方英雄将增加额外5%的免伤效果，持续5秒，并在3秒内获得70%的爆发移动速度加成（持续衰减）。,40/35/30,140,血族之书,秘法之靴,博学者之怒,回响之杖,冰霜法杖,贤者之书,宫本武藏,赵云,亚瑟,刘禅,赵云,宫本武藏,远程,490,17,50,163,98,3122,44,360, 高爆发  法师 
吕布,被动：吕布拥有比其他近战更远的攻击距离，方天画戟附魔状态下，普攻会造成基于自身攻击力的100%物理加成点真实伤害并且回复自身已损生命值1%（+25%额外物理攻击）。如果下一次方天画戟未斩中英雄，会立刻失去附魔效果。,吕布挥出一击方天画斩，造成500/620/740/860/980/1100（+275%额外物理加成）点物理伤害，如果命中英雄，将会附魔自身武器，附魔的方天画斩会造成真实伤害，每击中1个英雄回复自身已损失生命4%（+50%额外物理加成）,5,0,吕布夺取身前范围内敌人的魂灵，对其造成微量物理伤害和30%减速持续3秒。每夺取一个魂灵都会为自身增加护盾。最高同时抽中3个单位产生可抵免900/1260/1620/1980/2340/2700点伤害的护盾。,12/11/10/9/8/7,0,吕布标记指定地点后从天而降展开杀戮。落地击飞内圈的敌人，并在印记范围内施展范围更大但因为蓄力威力减弱的方天画斩造成400/650/900（+250%额外物理加成）点物理伤害，吕布在印记范围内会获得额外的240/300/360点护甲和魔抗，触碰印记边缘的敌人会减速并造成150（+87%额外物理加成）点物理伤害英雄触碰会额外回复吕布自身已损生命4%（+50%额外物理加成）。,60/55/50,0,冷静之靴,不死鸟之眼,暗影战斧,血魔之怒,暴烈之甲,破军,嬴政,武则天,狄仁杰,孙尚香,貂蝉,曹操,近程,0,0,50,170,99,3564,54,370, 战士  射手 
孙悟空,被动：每次释放技能后强化下一次普攻，使伤害提升至210（+140%物理加成）的物理伤害，附带位移效果。孙悟空天生拥有20%暴击率，但初始暴击效果为150%,孙悟空念起护身咒，护身咒可在1秒内为孙悟空抵挡一次敌方技能。若成功抵挡，孙悟空将获得极短暂的无敌效果，以及持续4秒的护盾。开启技能还会获得短暂加速效果,12/11.6/11.2/10.8/10.4/10,80,孙悟空朝指定方向冲锋，命中敌人后借力腾空跳跃。跳跃过程中可使用普攻或英雄技能可中断跳跃,8/7.4/6.8/6.2/5.6/5,60,孙悟空将金箍棒变大直插入地，造成巨大震动对周围敌人造成150/190/230（+50%物理加成）点物理伤害并晕眩1秒。并对命中敌人打上3层印记。孙悟空的普攻命中带有印记的敌人将造成额外120点物理伤害（随英雄等级每级提升30点），并消耗一层印记,40/35/30,150,暗影战斧,影忍之足,无尽战刃,泣血之刃,宗师之力,贤者的庇护,宫本武藏,太乙真人,鲁班七号,干将莫邪,芈月,项羽,近程,430,15,50,167,94,3293,50,380, 突进  团控 
孙尚香,被动：普通攻击减少翻滚突袭0.5秒冷却时间,孙尚香朝前方翻滚，强化下一次普攻，对一条直线的敌人造成330/360/390/420/450/480（+115%物理加成）点物理伤害（翻滚后附近有敌方英雄将获得短暂移速加成），释放强化攻击后短时间内提升下一次普通攻击的攻击范围。,5,35,孙尚香朝敌人投掷爆弹，对范围内敌人造成125/140/155/170/185/200（+50%物理加成）点物理伤害并造成持续1秒减速，命中敌方附带灼烧效果，每秒灼烧敌方最大生命比例伤害2%,10/9.2/8.4/7.6/6.8/6,80,孙尚香蓄力发射一枚弩炮，对范围内敌人造成400/500/600（+150%物理加成）点物理伤害,30/25/20,140,闪电匕首,急速战靴,无尽战刃,末世,泣血之刃,破甲弓,老夫子,典韦,扁鹊,孙膑,张良,庄周,远程,440,15,50,172,89,3235,40,340, 突进  射手  收割 
