Titles	Genres
Maximum Risk (1996)[(6, 0.903), (0, 0.091), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Last Man Standing (1996)[(3, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (4, 0.001)]	action
Cool Runnings (1993)[(3, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (4, 0.002)]	comedy
Cinderella (1950)[(1, 0.998)]	animation
Winnie the Pooh and the Blustery Day (1968)[(0, 0.998)]	animation
Sword in the Stone, The (1963)[(0, 0.993), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	animation
Robin Hood: Prince of Thieves (1991)[(3, 0.997)]	comedy
Mary Poppins (1964)[(9, 0.993), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	animation
Dumbo (1941)[(4, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	animation
Pete's Dragon (1977)[(9, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Alice in Wonderland (1951)[(6, 0.974), (0, 0.004), (1, 0.003), (2, 0.003), (3, 0.003)]	animation
Fox and the Hound, The (1981)[(3, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	animation
Die Hard (1988)[(7, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Long Kiss Goodnight, The (1996)[(2, 0.997)]	action
Everyone Says I Love You (1996)[(7, 0.996), (0, 0.001)]	comedy
William Shakespeare's Romeo + Juliet (1996)[(2, 0.995), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	romance
Aladdin and the King of Thieves (1996)[(2, 0.995), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	comedy
Willy Wonka & the Chocolate Factory (1971)[(0, 0.997)]	fantasy
Sleeper (1973)[(3, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
Bananas (1971)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Monty Python's Life of Brian (1979)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Great Race, The (1965)[(9, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Bonnie and Clyde (1967)[(8, 0.978), (0, 0.003), (2, 0.003), (3, 0.003), (4, 0.003)]	romance
Dirty Dancing (1987)[(0, 0.998)]	romance
Platoon (1986)[(1, 0.997)]	action
Weekend at Bernie's (1989)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
E.T. the Extra-Terrestrial (1982)[(4, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	sci-fi
Days of Thunder (1990)[(4, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Top Gun (1986)[(0, 0.996)]	action
People vs. Larry Flynt, The (1996)[(4, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Abyss, The (1989)[(5, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	sci-fi
Escape from New York (1981)[(7, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Monty Python and the Holy Grail (1975)[(8, 0.997)]	comedy
Wallace & Gromit: The Wrong Trousers (1993)[(7, 0.971), (0, 0.004), (1, 0.003), (2, 0.003), (3, 0.003)]	animation
Delicatessen (1991)[(9, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Strictly Ballroom (1992)[(4, 0.996), (0, 0.001), (2, 0.001), (3, 0.001)]	romance
Star Wars: Episode V - The Empire Strikes Back (1980)[(3, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	sci-fi
Princess Bride, The (1987)[(4, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)[(9, 0.996), (0, 0.001)]	action
Brazil (1985)[(4, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Aliens (1986)[(6, 0.997)]	sci-fi
Apocalypse Now (1979)[(2, 0.987), (0, 0.002), (1, 0.001), (3, 0.001), (4, 0.001)]	action
Once Upon a Time in the West (C'era una volta il West) (1968)[(2, 0.995), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	action
Star Wars: Episode VI - Return of the Jedi (1983)[(6, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Alien (1979)[(1, 0.994), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	sci-fi
Army of Darkness (1993)[(6, 0.996), (0, 0.001)]	comedy
Blues Brothers, The (1980)[(7, 0.996), (0, 0.001)]	comedy
Full Metal Jacket (1987)[(5, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Grand Day Out with Wallace and Gromit, A (1989)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Annie Hall (1977)[(8, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Stalker (1979)[(0, 0.979), (2, 0.003), (3, 0.003), (4, 0.003), (1, 0.002)]	sci-fi
Terminator, The (1984)[(5, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Manhattan (1979)[(4, 0.785), (2, 0.214)]	comedy
Graduate, The (1967)[(9, 0.581), (1, 0.399), (0, 0.003), (2, 0.003), (3, 0.003)]	comedy
Femme Nikita, La (Nikita) (1990)[(8, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
8 1/2 (8½) (1963)[(3, 0.965), (0, 0.005), (1, 0.004), (2, 0.004), (4, 0.004)]	fantasy
Day the Earth Stood Still, The (1951)[(0, 0.981), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	sci-fi
Great Escape, The (1963)[(9, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Groundhog Day (1993)[(6, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Back to the Future (1985)[(7, 0.992), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Akira (1988)[(0, 0.996), (2, 0.001), (3, 0.001), (4, 0.001)]	animation
Highlander (1986)[(4, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Cyrano de Bergerac (1990)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Young Frankenstein (1974)[(9, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Fantasia (1940)[(6, 0.977), (0, 0.003), (2, 0.003), (3, 0.003), (4, 0.003)]	animation
Somewhere in Time (1980)[(5, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
This Is Spinal Tap (1984)[(0, 0.995), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Some Kind of Wonderful (1987)[(9, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Indiana Jones and the Last Crusade (1989)[(4, 0.928), (9, 0.069)]	action
Pink Floyd: The Wall (1982)[(4, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	animation
Forbidden Planet (1956)[(0, 0.983), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	sci-fi
Field of Dreams (1989)[(3, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (4, 0.002)]	fantasy
When Harry Met Sally... (1989)[(0, 0.995), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Alien³ (a.k.a. Alien 3) (1992)[(4, 0.596), (3, 0.24), (1, 0.159), (0, 0.001), (2, 0.001)]	sci-fi
Cape Fear (1962)[(4, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Cat People (1982)[(6, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	fantasy
Star Trek: First Contact (1996)[(9, 0.997)]	sci-fi
101 Dalmatians (1996)[(5, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Die Hard 2 (1990)[(8, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Star Trek: The Motion Picture (1979)[(9, 0.996), (0, 0.001), (4, 0.001)]	sci-fi
Star Trek VI: The Undiscovered Country (1991)[(9, 0.996), (0, 0.001)]	sci-fi
Star Trek II: The Wrath of Khan (1982)[(9, 0.987), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Star Trek III: The Search for Spock (1984)[(3, 0.998)]	sci-fi
Star Trek IV: The Voyage Home (1986)[(9, 0.999)]	sci-fi
Batman Returns (1992)[(2, 0.996), (0, 0.001), (3, 0.001), (4, 0.001)]	action
Young Guns (1988)[(2, 0.986), (0, 0.002), (1, 0.002), (3, 0.002), (4, 0.002)]	comedy
Under Siege (1992)[(9, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Mars Attacks! (1996)[(9, 0.992), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Jerry Maguire (1996)[(0, 0.987), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	comedy
Raising Arizona (1987)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Sneakers (1992)[(2, 0.995), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	comedy
Last of the Mohicans, The (1992)[(2, 0.996), (0, 0.001), (4, 0.001)]	romance
Hamlet (1996)[(1, 0.997)]	romance
Fierce Creatures (1997)[(2, 0.998)]	comedy
Benny & Joon (1993)[(0, 0.998)]	comedy
