MovieID,Titles,Plots,Genres
317,"Santa Clause, The (1994)","Divorcee Scott Calvin is disgusted to learn that his ex and her husband have tried - and failed - to break it easy to their 6-year-old son Charlie that Santa isn't real. On Christmas Eve, Scott reads The Night Before Christmas... then receives an unexpected visitor on his roof. When he's startled by Scott's calling out and falls, the Santa impersonator disappears, leaving only an 8-reindeer sleigh and a suit with instructions to put it on if he's involved in an accident. Scott does, and is transported around the town dropping gifts through chimneys until he's taken to the North Pole and informed by a group who claim they're elves that he is now Santa. Charlie is proud of his dad's new job, though Scott's convinced it's a dream. Until his hair turns white, his beard refuses to stay shaved, he gains weight inexplicably, even for his sudden love of junk food... Now he's accepted it, there's just one problem: how to keep it secret from his disbelieving family?",fantasy
318,"Shawshank Redemption, The (1994)","Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he claims he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.",comedy
333,Tommy Boy (1995),"An incompetent, immature, and dimwitted heir to an auto parts factory must save the business to keep it out of the hands of his new, con-artist relatives and big business.",comedy
342,Muriel's Wedding (1994),"Muriel finds life in Porpoise Spit, Australia dull and spends her days alone in her room listening to Abba music and dreaming of her wedding day. Slight problem, Muriel has never had a date. Then she steals some money to go on a tropical vacation, meets a wacky friend, changes her name to Mariel, and turns her world upside down.",comedy
344,Ace Ventura: Pet Detective (1994),"To be a Pet Detective, you have to understand both the criminals and animals. Ace Ventura goes even further... He behaves like a criminal animal. When a football team's mascot (a dolphin) is stolen just before the Superbowl, Ace Ventura is put on the case. Now, who would want to steal a dolphin, and why?",comedy
349,Clear and Present Danger (1994),CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,action
353,"Crow, The (1994)","A poetic guitarist Eric Draven is brought back to life by a crow a year after he and his fiance are murdered. The crow guides him through the land of the living, and leads him to his killers: knife thrower Tin-tin, drugetic Funboy, car buff T-Bird, and the unsophisticated Skank. One by one, Eric gives these thugs a taste of their own medicine. However their leader Top-Dollar, a world-class crime lord who will dispatch his enemies with a Japanese sword and joke about it later, will soon learn the legend of the crow and the secret to the vigilante's invincibility.",romance
355,"Flintstones, The (1994)","In this live-action feature of the cartoon show, Fred Flintstone finally gets the job he's always wanted, but it may just come at a price.",comedy
356,Forrest Gump (1994),"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",comedy
357,Four Weddings and a Funeral (1994),"The film follows the fortunes of Charles and his friends as they wonder if they will ever find true love and marry. Charles thinks he's found ""Miss Right"" in Carrie, an American. This British subtle comedy revolves around Charlie, his friends and the four weddings and one funeral which they attend.",romance
361,It Could Happen to You (1994),"Charlie and Muriel Lang have led simple lives - for most of their existance. That's until they win $4 million on the lottery! There is a problem, however. Prior to winning the lottery, Charlie had eaten at a cafe and hadn't been able to tip the waitress. He had promised her, jokingly, that if he won the lottery he'd give her half of it. This is why his wife, Muriel decides to leave him. She doesn't want the waitress to get a cent of their money. Infact she wants all $4 million for herself!",comedy
364,"Lion King, The (1994)","A young lion Prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young Prince must decide his fate: will he remain an outcast, or face his demons and become what he needs to be?",animation
367,"Mask, The (1994)",Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,comedy
368,Maverick (1994),"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",comedy
370,Naked Gun 33 1/3: The Final Insult (1994),Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,comedy
374,Richie Rich (1994),"The richest kid in the world, Richie Rich, has everything he wants, except companionship. While representing his father at a factory opening, he sees some kids playing baseball across the street. Richie wants to join in, but they don't want him around. When a plot to kill the Rich family is devised by Rich Industries' top executive, Laurence Van Dough, Richie must take over control of the company while searching for his lost parents with the help of some new friends.",comedy
377,Speed (1994),A young cop must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,action
380,True Lies (1994),"Harry Tasker leads a double life. At work he is a government agent with a license to do just about anything, while at home he pretends to be a dull computer salesman. He is on the trail of stolen nuclear weapons that are in the hands of fanatic terrorists when something more important comes up. Harry finds his wife is seeing another man because she needs some adventure in her life. Harry decides to give it to her, juggling pursuit of terrorists on one hand and an adventure for his wife on the other while showing he can Tango all at once.",action
384,Bad Company (1995),"Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of $50,000 in gold. They blackmail him into working for the Grimes Organization, which is set up as a ...",action
393,Street Fighter (1994),"Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world.",action
413,Airheads (1994),Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head DJ refuses to play them.,comedy
414,"Air Up There, The (1994)","Jimmy Dolan is a college basketball coach who wants a big promotion. To get it, he needs to make a dramatic find. He ends up deep in Africa, hoping to recruit Saleh, a huge basketball ...",comedy
420,Beverly Hills Cop III (1994),"One night in Detroit, during a shoot-out at a chop shop, Detroit cop Axel Foley sees his boss, Inspector Douglas Todd, getting killed by a well dressed man. Using his last breath, Inspector Todd tells Axel to get the man who shot him, and Axel says that he will do that. Axel does some looking around, and finds the killer's vehicle at Wonder World, a theme park in Beverly Hills, California. In Beverly Hills, Axel is reunited with his friend Billy Rosewood, who tells Axel that John Taggart is now retired and living in Arizona. Billy is now the deputy director of operations for joint systems interdepartmental operational command (JSIOC). Billy also has a new partner named Jon Flint. Axel checks out Wonder World, which is owned by Dave ""Uncle Dave"" Thornton. At Wonder World, Axel rescues two kids who are stuck on a ride that broke down, and after this, Axel is taken to see the park's head of security, Ellis DeWald, and Axel recognizes DeWald as Inspector Todd's killer. Jon refuses to believe this, because DeWald is one of Jon's friends. Ellis runs a counterfeiting ring that uses the theme park as a front. Axel is also falling in love with Janice Perkins, who works at the park. When Dave gets shot by DeWald's men, Axel is accused of being the man who shot Dave. With the help of Billy and Jon, Axel sets out to prove his innocence and get revenge on DeWald.",comedy
423,Blown Away (1994),Jimmy Dove works for the bomb squad in Boston and he is always the one who is on the tough jobs. One day he decides to quit the force and to become a teacher for the rookies of the squad. A few days later his former partner is killed by a bomb and Jimmy becomes suspicious that maybe this bomb could have been built by a former friend of himself. He begins to investigate and finds out that his worst nightmare has returned from his past.,action
431,Carlito's Way (1993),"A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.",romance
440,Dave (1993),"Bill Mitchell is the philandering and distant President of the United States. Dave Kovic is a sweet-natured and caring Temp Agency operator, who by a staggering coincidence looks exactly like the President. As such, when Mitchell wants to escape an official luncheon, the Secret Service hires Dave to stand in for him. Unfortunately, Mitchell suffers a severe stroke whilst having sex with one of his aides, and Dave finds himself stuck in the role indefinitely. The corrupt and manipulative Chief of Staff, Bob Alexander, plans to use Dave to elevate himself to the White House - but unfortunately, he doesn't count on Dave enjoying himself in office, using his luck to make the country a better place, and falling in love with the beautiful First Lady...",comedy
442,Demolition Man (1993),A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,action
457,"Fugitive, The (1993)","A well respected Chicago surgeon Dr. Richard Kimble has found out that his wife, Helen, has been murdered ferociously in her own home. The police found Kimble and accused him of the murder. Then, Kimble (without Justifiable Reason) was tried, convicted, and sentenced to death. However, on the way to prison, Kimble's transport crashed. Kimble escapes and is now on the run. Deputy Samuel Gerard from Chicago takes charge of the chase of Kimble. Meanwhile, Kimble makes up his own investigation to find who really killed his wife, and to lure Gerard and his team into it as well.",action
464,Hard Target (1993),"Natasha Binder comes to New Orleans looking for her father, who has gone missing. In doing so, she meets a very hard man called Chance. He helps her find out that her father was killed by an organisation who sell the opportunity to hunt human prey. They are taking advantage of a police strike in New Orleans. Will the Muscles from Brussels win through?",action
466,Hot Shots! Part Deux (1993),"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",comedy
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)","Two English cartographers visit the small South Wales village of Ffynnon Garw, to measure what is claimed to be the ""first mountain inside of Wales"". It's 1917, and the war in Europe continues. The villagers are very proud of their ""mountain"", and are understandably disappointed and furious to find that it is in fact a ""hill"". Not to be outwitted by a rule (and the Englishmen who enforce it), the villagers set out to make their hill into a mountain, but to do so they must keep the English from leaving, before the job is done.",comedy
471,"Hudsucker Proxy, The (1994)","When Waring Hudsucker, head of hugely successful Hudsucker Industries, commits suicide, his board of directors, led by Sidney Mussberger, comes up with a brilliant plan to make a lot of money: appoint a moron to run the company. When the stock falls low enough, Sidney and friends can buy it up for pennies on the dollar, take over the company, and restore its fortunes. They choose idealistic Norville Barnes, who just started in the mail room. Norville is whacky enough to drive any company to ruin, but soon, tough reporter Amy Archer smells a rat and begins an undercover investigation of Hudsucker Industries.",comedy
480,Jurassic Park (1993),"Huge advancements in scientific technology have enabled a mogul to create an island full of living dinosaurs. John Hammond has invited four individuals, along with his two grandchildren, to join him at Jurassic Park. But will everything go according to plan? A park employee attempts to steal dinosaur embryos, critical security systems are shut down and it now becomes a race for survival with dinosaurs roaming freely over the island.",sci-fi
485,Last Action Hero (1993),"Young Danny Madigan is a big fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the new Jack Slater film, Danny is transported into Slater's world, where the good guys always win. One of Slater's enemies, Benedict the hitman, gets hold of the ticket and ends up in Danny's world, where he realises that if he can kill Schwarzenegger, Slater will be no more. Slater and Danny must travel back and stop him.",fantasy
497,Much Ado About Nothing (1993),"Young lovers Hero and Claudio are to be married in one week. To pass the time, they conspire with Don Pedro to set a ""lover's trap"" for Benedick, an arrogant confirmed bachelor, and Beatrice, his favorite sparring partner. Meanwhile, the evil Don Jon conspires to break up the wedding by accusing Hero of infidelity. In the end, though, it all turns out to be ""much ado about nothing.""",comedy
500,Mrs. Doubtfire (1993),"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",comedy
502,"Next Karate Kid, The (1994)","During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",romance
514,"Ref, The (1994)","A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",comedy
